epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2972,1.46729,2.53932,1.45699,0.47255,0.16117,0.20398,0.1141,1.67686,3.32852,1.5669,0.000546847,0.000546847,0.000546847
2,42.2577,1.46756,1.858,1.42349,0.3884,0.49422,0.30584,0.13744,1.83421,3.46757,1.77546,0.00106613,0.00106613,0.00106613
3,61.572,1.4321,1.66611,1.42523,0.58388,0.43486,0.44172,0.20583,1.79968,2.21759,1.78949,0.00154874,0.00154874,0.00154874
4,82.2287,1.47149,1.56158,1.46861,0.62734,0.42638,0.48825,0.21173,2.01985,2.15113,1.87092,0.00150197,0.00150197,0.00150197
5,100.637,1.44495,1.40391,1.44376,0.53358,0.53477,0.4972,0.24545,1.75713,1.77765,1.67801,0.00144696,0.00144696,0.00144696
6,120.339,1.44052,1.33249,1.43567,0.74786,0.5858,0.65441,0.31218,1.73763,1.58617,1.65537,0.00139195,0.00139195,0.00139195
7,138.859,1.40011,1.23555,1.40489,0.75396,0.62537,0.68774,0.34361,1.71053,1.36419,1.58257,0.00133693,0.00133693,0.00133693
8,157.112,1.4139,1.2221,1.39506,0.6883,0.64405,0.67476,0.35144,1.67194,1.2723,1.58455,0.00128192,0.00128192,0.00128192
9,176.749,1.36987,1.13125,1.39692,0.78751,0.64905,0.72395,0.37093,1.64259,1.17934,1.54677,0.00122691,0.00122691,0.00122691
10,194.916,1.39041,1.12772,1.39444,0.82878,0.65583,0.75846,0.38669,1.64386,1.16121,1.52061,0.0011719,0.0011719,0.0011719
11,214.514,1.34818,1.0745,1.37425,0.82031,0.68521,0.73371,0.37181,1.5912,1.10819,1.46651,0.00111689,0.00111689,0.00111689
12,233.006,1.2838,1.01165,1.32748,0.80578,0.61295,0.71725,0.37213,1.65986,1.1812,1.53611,0.00106188,0.00106188,0.00106188
13,251.936,1.32997,1.01721,1.35874,0.85599,0.67233,0.77643,0.40031,1.59079,1.01486,1.49642,0.00100687,0.00100687,0.00100687
14,270.837,1.30852,0.9713,1.3252,0.81466,0.69019,0.75551,0.36663,1.73863,1.12671,1.59944,0.000951857,0.000951857,0.000951857
15,289.13,1.2965,0.94493,1.32247,0.86162,0.70873,0.78488,0.41537,1.62167,0.96268,1.45561,0.000896846,0.000896846,0.000896846
16,308.852,1.25686,0.90228,1.30224,0.82955,0.72076,0.78756,0.42288,1.5547,0.96107,1.4552,0.000841835,0.000841835,0.000841835
17,327.067,1.25855,0.89759,1.30117,0.87863,0.72807,0.79722,0.43425,1.58091,0.92665,1.45876,0.000786824,0.000786824,0.000786824
18,346.878,1.24396,0.86909,1.29984,0.841,0.70645,0.79088,0.423,1.55189,0.91432,1.42995,0.000731813,0.000731813,0.000731813
19,365.753,1.25589,0.84927,1.29813,0.86758,0.72941,0.80248,0.44478,1.55828,0.84271,1.44553,0.000676802,0.000676802,0.000676802
20,385.318,1.20912,0.82545,1.26822,0.86804,0.72102,0.80541,0.44285,1.55826,0.85736,1.45674,0.000621791,0.000621791,0.000621791
21,405.825,1.25555,0.77268,1.31476,0.83291,0.76459,0.80126,0.4379,1.54564,0.85808,1.44708,0.00056678,0.00056678,0.00056678
22,423.518,1.2535,0.71619,1.31559,0.8729,0.74822,0.8187,0.44648,1.53055,0.83614,1.42771,0.000511769,0.000511769,0.000511769
23,441.787,1.21915,0.67795,1.27402,0.9079,0.74206,0.8188,0.45255,1.51092,0.81738,1.41601,0.000456758,0.000456758,0.000456758
24,459.113,1.2088,0.67214,1.27537,0.87938,0.75372,0.81017,0.44978,1.53997,0.79576,1.42888,0.000401747,0.000401747,0.000401747
25,477.12,1.17634,0.6481,1.26091,0.87834,0.74663,0.8187,0.4562,1.49564,0.78819,1.40015,0.000346736,0.000346736,0.000346736
26,495.048,1.15628,0.62353,1.23655,0.89918,0.76488,0.83101,0.46414,1.52204,0.77089,1.42854,0.000291725,0.000291725,0.000291725
27,512.187,1.14962,0.61069,1.24098,0.88191,0.77182,0.83306,0.46304,1.50946,0.7747,1.42962,0.000236714,0.000236714,0.000236714
28,530.208,1.11739,0.58266,1.22527,0.88865,0.77065,0.83584,0.46437,1.50323,0.75406,1.41551,0.000181703,0.000181703,0.000181703
29,547.703,1.12178,0.59078,1.22169,0.86503,0.7928,0.84955,0.4685,1.50051,0.75499,1.4112,0.000126692,0.000126692,0.000126692
30,565.039,1.11246,0.56074,1.21872,0.86299,0.77824,0.83817,0.45998,1.51648,0.7573,1.41518,7.1681e-05,7.1681e-05,7.1681e-05
